,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
169,169,محل للإيجار في حي المشاعل ، الرياض ، الرياض,"15,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المشاعل/حي-المشاعل-الرياض-الرياض-3449645,شمال,30 م, 10 سنة
170,170,محل للإيجار في طريق العزيزية ، حي العزيزية ، الرياض ، الرياض,"25,000 ريال",45 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-العزيزية-حي-العزيزية-الرياض-الرياض-3173805,غرب,,
171,171,محل للإيجار في طريق العزيزية ، حي العزيزية ، الرياض ، الرياض,"50,000 ريال",1250 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-العزيزية-حي-العزيزية-الرياض-الرياض-3651273,شرق,60 م,جديد
172,172,محل للإيجار في طريق العزيزية ، حي العزيزية ، الرياض ، الرياض,"40,000 ريال",75 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-العزيزية-حي-العزيزية-الرياض-الرياض-3710789,غرب,60 م, 14 سنة
173,173,محل للإيجار في شارع الترمذي ، حي الشفا ، الرياض ، الرياض,"90,000 ريال",88 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-الترمذي-حي-الشفا-الرياض-الرياض-3739672,شرق,50 م,جديد
174,174,محل للإيجار في طريق ديراب الفرعي ، حي الشفا ، الرياض ، الرياض,"210,000 ريال",300 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/طريق-ديراب-الفرعي-حي-الشفا-الرياض-الرياض-2536509,غرب,75 م,جديد
175,175,محل للإيجار في شارع حوران ، حي بدر ، الرياض ، الرياض,"66,000 ريال",600 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-حوران-حي-بدر-الرياض-الرياض-2536491,غرب,22 م, 26 سنة
176,176,محل للإيجار في حي ، شارع سبت العلايا ، حي الدار البيضاء ، الرياض ، الرياض,"9,000 ريال",24 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-سبت-العلايا-حي-الدار-البيضاء-الرياض-الرياض-3393606,غرب,30 م, 32 سنة
177,177,محل للإيجار في شارع العريضة ، حي بدر ، الرياض ، الرياض,"1,000,000 ريال",2000 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-العريضة-حي-بدر-الرياض-الرياض-3317577,شرق,60 م,جديد
178,178,محل للإيجار في شارع الاستقامة ، حي بدر ، الرياض ، الرياض,"7,000 ريال",28 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الاستقامة-حي-بدر-الرياض-الرياض-1920107,شمال,30 م, 15 سنة
179,179,محل للإيجار في شارع الزاهر ، حي بدر ، الرياض ، الرياض,"10,400 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الزاهر-حي-بدر-الرياض-الرياض-1705081,شمال,40 م, 15 سنة
